Method,Dataset,Train/Class,Test/Class,Accuracy,Precision,Recall,F1
TF-IDF + Logistic Regression,AG_NEWS,20,20,0.6000,0.6049,0.6000,0.5876
TF-IDF + Naive Bayes,AG_NEWS,20,20,0.6250,0.6278,0.6250,0.6186
TF-IDF + SVM,AG_NEWS,20,20,0.6000,0.6016,0.6000,0.5879
